Project Number,MH Name,County,Street City State Zip,Lots,Approval Date,Primary Status,Owner Name,PlantCity
PRMZ000727,HAWAIIAN ISLES TRAVEL RESORTS,Hillsborough,"4054 ALOHA BLVD, RUSKIN, FL 33570",135,10/27/2020,Approved,,
PRMZ000736,MAY GROVE VILLAGE,Polk,"1725 GIBSONIA GALLOWAY RD, LAKELAND, FL 33810",81,08/15/2001,Approved,,
PRMZ000741,STERLING MOBILE HOME PARK,Polk,"7 BRIDGE BLVD, LAKELAND, FL 33815",340,01/18/2023,Approved,,
PRMZ001018,SHADY REST MOBILE HOME PARK,Pasco,"37836 8TH AVE W, ZEPHYRHILLS, FL 33541",60,11/29/2018,Approved,,
PRMZ001033,PINECREST MOBILE HOME PARK,Pasco,"6043 HARRIET ST, ZEPHYRHILLS, FL 33542",134,09/05/2023,Approved,,
PRMZ001035,PLEASANT VIEW MOBILE HOME PARK,Polk,"2251 FORT MEADE RD CR 630 W, FROSTPROOF, FL 33843",35,03/05/1997,Approved,"PLEASANT VIEW MOBILE HOME PARK, INC.",
PRMZ001311,WHISPERING PINES MANUFACTURED HOME COMMUNITY,Polk,"101 SUNSHINE DR, FROSTPROOF, FL 33843",198,10/03/2013,Approved,"RICKERT, WAYNE, RICKERT, ALLAN, GOSS, JAMES PARTNERS",
PRMZ001325,ORANGE MANOR MHP EAST,Polk,"206 ORANGE MANOR DR, WINTER HAVEN, FL 33884",205,08/27/2019,Approved,,
PRMZ001331,NEPTUNE MOBILE VILLAGE,Hillsborough,"2525 GULF CITY RD # 1, RUSKIN, FL 33570-2771",159,04/30/2018,Approved,,
PRMZ001332,WINWARD LAKES MOBILE HOME PARK,Hillsborough,"6220 S DALE MABRY HWY, TAMPA, FL 33611",213,09/30/2021,Approved,,
PRMZ001341,WINTERS MOBILE HOME PARK,Pasco,"38022 WINTER DR, ZEPHYRHILLS, FL 33542",247,03/24/2026,Approved,,
PRMZ001342,TREE LANE VILLAGE,Pasco,"5729 DAYTON ST, ZEPHYRHILLS, FL 33542",185,08/15/2001,Approved,,
PRMZ001352,WINTERSET SHORES ESTATES,Polk,"SR 540-A 19-B HUMMINGBIRD LN, WINTER HAVEN, FL 33880",42,06/03/2025,Approved,,
PRMY001882,OAK HAVEN,Hillsborough,"5233 PINE ST, SEFFNER, FL 33584",11,12/31/1984,Approved,,
PRMY001908,LAKE JULIANA BOATING AND LODGING,Polk,"600 LUNDY RD, AUBURNDALE, FL 33823",11,11/14/2025,Approved,,
PRMY001919,GIFFORD MHP,Polk,"2615 TANGLEWOOD ST, LAKELAND, FL 33801",20,09/04/2012,Approved,,
PRMZ001769,RANCH OAKS MOBILE HOME PARK,Hillsborough,"11940 US HWY 301 NORTH LOT 11, THONOTOSASSA, FL 33637",83,08/15/2001,Approved,,
PRMZ001779,WESTSIDE RIDGE,Polk,"911 WESTSIDE RIDGE BLVD, AUBURNDALE, FL 33823",225,07/15/2025,Approved,,
PRMY002772,ALAFIA OAKS MOBILE HOME PARK,Hillsborough,"8406 HENRY GEORGE RD, PLANT CITY, FL 33567",25,10/17/2017,Approved,,Y
PRMY002791,CAPTAIN'S LANDING MHP,Hillsborough,"105 21ST NW, RUSKIN, FL 33570",25,09/04/1987,Approved,,
PRMZ002882,CYPRESS GREENS,Polk,"1000 CYPRESS CREEK BLVD, LAKE ALFRED, FL 33850",262,02/20/2025,Approved,,
PRMZ002921,LAKE CLINCH MANOR,Polk,"14 LAKE ST, FROSTPROOF, FL 33843",33,09/08/2015,Approved,,
PRMY001934,MANNINGS MHP,Hillsborough,"6403 CR 579, SEFFNER, FL 33584",12,10/07/1986,Approved,"MANNING, JERRY & PATRICIA",
PRMZ000231,CAMP TIGER FISH CAMP,Polk,"1731 SAM KEENE RD, LAKE WALES, FL 33898",45,12/11/1989,Approved,,
PRMZ000233,CAMELOT MOBILE HOME PARK,Hillsborough,"11611 SIR LAWRENCE CT, THONOTOSASSA, FL 33592",119,11/13/2025,Approved,,
PRMZ001802,PINE LAKE MOBILE HOME PARK,Polk,"7805 US 98 N, LAKELAND, FL 33809",30,10/12/2023,Approved,,
PRMZ001805,LAKE ALFRED MOBILE HOME PARK,Polk,"670 EAST ALFRED DRIVE, LAKE ALFRED, FL 33850",84,08/18/2008,Approved,,
PRMZ001816,GRAPE HAMMOCK TP,Polk,"1400 GRAPE HAMMOCK RD, LAKE WALES, FL 33853",37,03/13/2007,Approved,GRAPE HAMMOCK FISH CAMP INC,
PRMZ001827,CYPRESS SHORES EAST MOBILE HOME PARK,Polk,"3275 WEST US 92, WINTER HAVEN, FL 33881",122,04/10/2025,Approved,,
PRMZ001829,CENTRAL MHP NORTH,Hillsborough,"9702 N CENTRAL, TAMPA, FL 33612",63,08/23/2004,Approved,,
PRMY002833,ORANGE GROVE MOBILE HOME PARK,Hillsborough,"916 N PARSONS AVE, SEFFNER, FL 33584",14,07/09/2004,Approved,,
PRMY002834,EELWEKS,Hillsborough,"9910 SKEWLEE RD, THONOTOSASSA, FL 33592",13,09/20/1988,Approved,,
PRMY002835,SERENE MH COURT,Polk,"2412 BROADWAY ST, LAKELAND, FL 33801",11,03/06/2015,Approved,,
PRMY002850,PROCTORS MOBILE HOME PARK #1,Polk,"1111 HW 17 & 92 N, DAVENPORT, FL 33837",0,08/28/2015,Approved,PROCTOR HAROLD,
PRMY002870,BRITT'S M H P,Hillsborough,"3125 WEST HILLSBOROUGH, TAMPA, FL 33614",8,08/13/2013,Approved,,
PRMZ003026,LAKE HAMMOCK VILLAGE,Polk,"36106 U.S. HWY 27, HAINES CITY, FL 33844",214,04/29/2009,Approved,,
PRMZ003069,CYPRESS KNEE COVE MOBILE HOME PARK,Polk,"3300 CANAL RD, LAKE WALES, FL 33898",32,04/01/2026,Approved,,
PRMZ003085,CRAWFORD'S 3B'S MHP,Hillsborough,"4202 W HOLLOWAY RD, PLANT CITY, FL 33567",29,07/30/2008,Approved,,Y
PRMZ000257,COLONIAL MOBILE HOME VILLAGE,Polk,"745 PINEWOOD AVE, LAKELAND, FL 33815",104,03/19/2026,Approved,,
PRMZ000265,CASA VERDE MANUFACTURED HOME COMMUNITY,Hillsborough,"102 MAGNOLIA LN, TAMPA, FL 33610",384,11/13/2024,Approved,,
PRMZ000286,DELL LAKE VILLAGE,Polk,"213 FREDRICK AVENUE, DUNDEE, FL 33838",234,02/05/2007,Approved,,
PRMY002908,B & W MOBILE HOME PARK,Hillsborough,"9722 E US 92, TAMPA, FL 33610",13,10/09/2008,Approved,,
PRMZ000765,KINGS AND QUEENS MOBILE HOME PARK,Polk,"2808 N FLORIDA AVE, LAKELAND, FL 33805",108,09/21/2018,Approved,,
PRMZ000766,LAKELAND ESTATES MOBILE HOME COMMUNITY,Polk,"224 TYLER AVE, LAKELAND, FL 33801",100,07/29/2016,Approved,,
PRMZ001044,PLEASANT LIVING MOBILE HOME PARK,Hillsborough,"10502 PLEASANT BLVD, RIVERVIEW, FL 33569",245,04/27/2023,Approved,,
PRMZ001067,OSCEOLA MHP,Pasco,"9821 HOPI LN, NEW PORT RICHEY, FL 34654",65,10/02/1989,Approved,"GORDON, GARY L",
PRMZ000302,TRANQUIL ACRES MOBILE HOME ESTATES,Polk,"70 AVE E N, AUBURNDALE, FL 33823",154,01/06/2025,Approved,,
PRMZ001377,ROYAL PALM VILLAGE,Polk,"3000 US 17-92 W, HAINES CITY, FL 33844",396,02/03/2025,Approved,,
PRMZ001385,THREE LAKES MOBILE HOME PARK,Hillsborough,"9800 SHELDON RD, TAMPA, FL 33635",545,07/15/2025,Approved,,
PRMZ001389,SUNRISE MOBILE HOME PARK,Hillsborough,"18118 US SERVICE RD, LUTZ, FL 33548",168,04/11/2024,Approved,,
PRMY001937,SABLE PALMS MHP,Polk,"4230 HWY 60, MULBERRY, FL 33860",20,11/24/2010,Approved,,
PRMY001951,LAKE THOMAS MOBILE HOME PARK,Pasco,"5235 VILLAGE LN, LAND O' LAKES, FL 34638",14,08/30/2021,Approved,,
PRMY001959,COUNTRY GROVE MOBILE HOME PARK,Hillsborough,"10730 SKEWLEE RD, THONOTOSASSA, FL 33592",14,08/30/2021,Approved,,
PRMY001968,OPPORTUNITY VILLA,Polk,"6025 NEW TAMPA HWY, LAKELAND, FL 33811",10,10/05/2021,Approved,,
PRMY001980,DICKSON MOBILE HOME PARK #2,Hillsborough,"12885 N FLORIDA AVE, TAMPA, FL 33612",13,09/09/2020,Approved,,
PRMZ000793,JENNINGS RESORT INC MOBILE HOME PARK,Polk,"4325 JENNINGS FISH CAMP RD, LAKE WALES, FL 33898",66,01/28/2010,Approved,"JENNINGS RESORT, INC.",
PRMZ000803,PINE RIDGE ESTATES,Polk,"7405 N SOCRUM LOOP RD, LAKELAND, FL 33809",105,06/29/2022,Approved,,
PRMZ000804,CAREFREE VILLAGE MOBILE HOME PARK,Hillsborough,"8000 SHELDON RD, TAMPA, FL 33615",408,09/06/2018,Approved,,
PRMZ003148,PARADISE LAKES MOBILE HOME PARK,Polk,"3900 SR 37 N, MULBERRY, FL 33860",265,11/30/2023,Approved,,
PRMZ003181,MEADOWBROOK,Polk,"3801 NEW TAMPA HWY, LAKELAND, FL 33815",215,12/15/2022,Approved,,
PRMY003607,KOZY ACRES RV PARK,Pasco,"8106 N HWY 301, ZEPHYRHILLS, FL 33541",19,08/31/2000,Approved,AUGUSTE GOODWAN/CHRISTIAN ROBIN,
PRMZ001417,SUNNYSIDE MHP,Pasco,"5028 FISHER ST, ZEPHYRHILLS, FL 33542",208,08/15/2001,Approved,,
PRMZ001422,LAZY ACRES MOBILE HOME PARK,Hillsborough,"14011 NEBRASKA AVE, TAMPA, FL 33613",28,07/22/2021,Approved,,
PRMZ001426,OAK HARBOR MOBILE HOME PARK,Polk,"10000 W LAKE LOWERY RD, HAINES CITY, FL 33844",73,05/10/2023,Approved,,
PRMY001983,BRANTLEY'S MOBILE HOME PARK,Hillsborough,"9721 CR RD 39 S, LITHIA, FL 33547",12,03/18/2020,Approved,,
PRMY001999,PLEASANT RIDGE MHP,Polk,"330 BRACEY ROAD, LAKELAND, FL 33809",24,10/02/2013,Approved,,
PRMZ000304,EASTWOOD ESTATES,Hillsborough,"12130 U S 41 SOUTH, GIBSONTON, FL 33534",160,02/26/2020,Approved,,
PRMZ003235,WALDEN SHORES,Polk,"2204 THOREAU DR, LAKE WALES, FL 33898",222,09/04/2020,Approved,,
PRMZ000538,HOLIDAY MOBILE HOME PARK,Polk,"4141 NEW TAMPA HWY, LAKELAND, FL 33815",214,04/29/2025,Approved,,
PRMZ001062,SWISS VILLAGE,Polk,"366 ALPINE DR, WINTER HAVEN, FL 33881",381,03/03/2015,Approved,CHC III LTD.,
PRMZ003278,GLEN HAVEN RV & MHP,Pasco,"37251 CHANCEY RD, ZEPHYRHILLS, FL 33541",52,12/11/2024,Approved,,
PR7636,PINE GROVE ESTATES,Polk,"2245 NEW TAMPA HWY, LAKELAND, FL 33815",31,11/22/2024,Approved,,
PRMY003109,SASNETT PALMS MOBILE HOME PARK,Hillsborough,"10740 SKEWLEE RD, THONOTOSASSA, FL 33592",13,07/02/2021,Approved,,
PRMY003128,CAMP LESTER,Polk,"14400 RESSE DRIVE, LAKE WALES, FL 33853",22,01/01/2004,Approved,"COSCE, LEO & JOANNE",
PRMY003135,NASRALLAH MHP,Hillsborough,"8601 E SLIGH AVE, TAMPA, FL 33610",12,09/10/1987,Approved,"NASRALLAH, RICHARD",
PRMY003279,SUNSHINE TRAILER PARK,Hillsborough,"5302 GLEN HARWELL ROAD, PLANT CITY, FL 33567",20,10/14/1993,Approved,"SPEER, WAYNE AND CATHERINE",Y
PRMY003350,TYER'S MOBILE RANCH #2,Pasco,"20401 US 301, TRILBY, FL 33593",6,03/11/2015,Approved,,
PRMZ003066,ALAFIA RIVERFRONT,Hillsborough,"7801 RIVERVIEW DR, RIVERVIEW, FL 33578",96,12/14/2023,Approved,,
PRMZ003203,SOUTHERN PINES RV & MH RESORT,Polk,"1622 COUNTY ROAD 630 WEST, FROSTPROOF, FL 33843",99,01/31/2002,Approved,,
PRMZ003087,ANCLOTE ACRES MOBILE HOME PARK,Pasco,"1210 CALVARY RD, HOLIDAY, FL 34691",38,09/18/2025,Approved,,
PRMZ000964,TEN ROCKS MOBILE HOME PARK,Polk,"3925 COMBEE RD N, LAKELAND, FL 33805-7617",36,06/10/2022,Approved,,
PRMZ000989,MEADOWS AT COUNTRYWOOD,Hillsborough,"745 ARBOR ESTATES WAY, PLANT CITY, FL 33565",736,10/31/2018,Approved,,Y
PRMZ002918,ROSE LAKE ESTATES MOBILE HOME PARK,Hillsborough,"14530 N FLORIDA AVE, TAMPA, FL 33613",213,04/12/2024,Approved,,
PRMZ003052,WINDING CREEK MOBILE HOME PARK,Hillsborough,"12420 N FLORIDA AVE, TAMPA, FL 33612",77,07/08/2020,Approved,,
PRMZ000459,HAINES CITY MOBILE HOME & RV PARK,Polk,"753 W MAIN ST OFFICE, HAINES CITY, FL 33844",192,01/27/2026,Approved,,
PRMZ000618,LAKE REGION MOBILE HOME VILLAGE,Polk,"31850 US 27 S, HAINES CITY, FL 33844",75,07/27/2012,Approved,,
PRMZ000653,MADISON LANE ESTATES,Hillsborough,"5353 MADISON LAKE CIR, TAMPA, FL 33619",127,02/08/2006,Approved,,
PRMZ000682,ARIANA VILLAGE,Polk,"1625 ARIANA ST, LAKELAND, FL 33803",210,06/10/2025,Approved,,
PRMZ000703,LAKELAND JUNCTION,Polk,"202 E GRIFFIN RD, LAKELAND, FL 33805",194,09/26/2018,Approved,,
PRMZ000706,PARADISE PALMS,Polk,"3710 OLD TAMPA HWY, LAKELAND, FL 33811",50,07/17/2025,Approved,,
PRMZ000802,LAKESIDE GARDENS MOBILE HOME PARK,Polk,"5301 US HWY 27 S, LAKE WALES, FL 33853",54,05/11/2022,Approved,,
PRMZ000853,CARIBBEAN ISLES RESIDENTIAL COOPERATIVE,Hillsborough,"405 ELSBERRY RD, APOLLO BEACH, FL 33572",22,07/24/2024,Approved,,
PRMZ001200,TOWERWOOD,Polk,"597 TOWERWOOD BLVD, LAKE WALES, FL 33859",330,05/14/2026,Approved,,
PRMZ001245,IMPERIAL COURTS MOBILE HOME PARK,Pasco,"5129 SANDPIPER DR, NEW PORT RICHEY, FL 34652",84,06/23/2021,Approved,,
PRMZ001376,LAKE WALES MOBILE HOME PARK,Polk,"705 N SCENIC HWY, LAKE WALES, FL 33853-2600",47,02/06/2026,Approved,,
PRMZ001447,FORT MEADE ESTATES,Polk,"1046 2ND ST SE, FORT MEADE, FL 33841",247,06/06/2024,Approved,,
PRMZ001630,SHADY ACRES MHP & RV PARK,Pasco,"14417 US 19, HUDSON, FL 34667",72,06/12/2002,Approved,SHADY ACRES MHP & RV PARK FLA GENERAL PARTNERSHIP,
PRMZ001632,GLEN OAKS MOBILE HOME PARK,Hillsborough,"12428 N FLORIDA AVE, TAMPA, FL 33612",43,02/06/2020,Approved,,
PRMZ001781,AUBURNDALE ESTATES,Polk,"2604 SADDLE CREEK RD, AUBURNDALE, FL 33823",124,08/23/2023,Approved,,
PRMZ001843,VALENCIA MOBILE HOME PARK,Polk,"226 S WASHINGTON AVE, FORT MEADE, FL 33841",95,12/17/2015,Approved,,
PRMZ000335,FOUNTAINVIEW ESTATES MOBILE HOME PARK,Hillsborough,"8800 BERKSHIRE LN, TAMPA, FL 33635",546,09/15/2025,Approved,,
PRMZ000417,GREENBRIER MOBILE HOME PARK,Polk,"2120 DUFF RD, LAKELAND, FL 33810",141,11/10/2020,Approved,,
PRMY002055,LINWOOD OAKS,Polk,"111 WEST CARTER ROAD, LAKELAND, FL 33813",21,02/07/2022,Approved,,
PRMY002060,DAN'S MHP,Polk,"US 27 S DAN'S CIR, LAKE WALES, FL 33853",12,07/21/2010,Approved,,
PRMY002191,CAULEY'S MHP,Polk,"3731 OLD TAMPA HWY, LAKELAND, FL 33811",20,09/21/2000,Approved,,
PRMY002741,WIGWAM MOBILE HOME PARK/RVP,Hillsborough,"9102 WILLIAMS RD, SEFFNER, FL 33584",11,11/02/1989,Approved,,
PRMY002836,SANDY'S MHP,Hillsborough,"9920 SKEWLEE RD, THONOTOSASSA, FL 33592",13,09/20/1988,Approved,,
PR7533,VALRICO HILLS MOBILE HOME PARK,Hillsborough,"3942 E STATE ROAD 60, DOVER, FL 33527",38,06/07/2022,Approved,,
PR7575,SHADY OAKS MOBILE HOME PARK,Polk,"3245 E MAIN ST, LAKELAND, FL 33801",30,11/18/2022,Approved,,
PRMY003094,SHIPP SIDE MHP,Polk,"1849 7TH ST SW, WINTER HAVEN, FL 33880",19,02/01/1999,Approved,,
PRMY003596,SHAMSI MOBILE HOME PARK,Hillsborough,"11219 MCMULLEN RD, RIVERVIEW, FL 33569",11,08/25/2009,Approved,,
PRMZ000074,BRIARWOOD ESTATES MOBILE HOME COMMUNITY,Polk,"5310 DEESON RD, LAKELAND, FL 33809",19,07/10/2006,Approved,,
PRMZ000150,COUNTRY VILLAGE MOBILE HOME PARK,Pasco,"10532 BECOMING DR, HUDSON, FL 34667",74,04/12/2013,Approved,,
PRMZ000162,PLANTATION OAKS MOBILE HOME PARK-SECTION B,Hillsborough,"143 ALAFARA ST, SEFFNER, FL 33584",101,12/04/2024,Approved,,
PRMZ000196,CHRISTMAS TREE TRAILER PARK,Polk,"2400 HUTCHINS RD, FT. MEADE, FL 33841",99,10/11/1993,Approved,,
PRMZ000294,NORTH ROME MHP,Hillsborough,"6700 N ROME AVE, TAMPA, FL 33604",82,07/28/2017,Approved,,
PRMZ001907,BREEZEWOOD MHP,Hillsborough,"1701 SKIPPER RD, TAMPA, FL 33613",52,07/19/2004,Approved,,
PRMZ002148,PARKWOOD ESTATES,Hillsborough,"4000 US HIGHWAY 92 EAST, PLANT CITY, FL 33566",213,12/07/2023,Approved,,Y
PRMY001996,LAKE MATTIE MHP,Polk,"563 CONE ROAD, AUBURNDALE, FL 33823",15,01/26/2026,Approved,,
PRMY001998,OAK TREE,Hillsborough,"1920 151ST AVE, LUTZ, FL 33549",12,06/20/2025,Approved,,
PRMY003186,BREWER & SONS RENTALS,Hillsborough,"7026 NUNDY AVE, GIBSONTON, FL 33534",4,10/01/2002,Approved,"BREWER, INA",
PRMZ000889,LAKEFRONT TRAILER PARK,Polk,"FORT MEADE ROAD, FROSTPROOF, FL 33843",40,08/26/2010,Approved,,
PRMZ002387,MAS VERDE MOBILE HOME ESTATES,Polk,"2600 HARDEN BLVD, LAKELAND, FL 33803",403,11/04/2025,Approved,,
PRMZ000191,COLONY COVE MOBILE HOME PARK,Pasco,"5229 RUBBER TREE CIR, NEW PORT RICHEY, FL 34653",140,12/07/2010,Approved,,
PRMY003267,SELF'S MOBILE HOME PARK,Hillsborough,"4262 CASTLEWOOD DRIVE, SEFFNER, FL 33584",21,01/03/2011,Approved,,
PRMZ000280,WINTER HAVEN OAKS,Polk,"5248 SPIRIT LAKE RD, WINTER HAVEN, FL 33880",344,07/19/2018,Approved,,
PRMZ000995,SWISS GOLF & TENNIS CLUB,Polk,"1 CENTURY DR, WINTER HAVEN, FL 33881",612,02/27/2015,Approved,CHC VII LTD,
PR7291,ARROW WOOD MOBILE HOME PARK,Polk,"3305 SKYVIEW DR, LAKELAND, FL 33801",23,04/02/2008,Approved,,
PRMZ000083,BLUE JAY MOBILE HOME PARK,Pasco,"38511 WILDS RD, DADE CITY, FL 33525",206,01/17/2017,Approved,,
PRMY002761,KENNARD'S MOBILE HOME PARK,Polk,"3800 HWY 17/92 W, HAINES CITY, FL 33844",18,06/22/2009,Approved,,
PRMZ003549,TERRACE CROSSINGS,Hillsborough,"9901 E FOWLER AVE, THONOTOSASSA, FL 33903",65,02/06/2026,Approved,,
PRMZ000120,MOUSE MOUNTAIN MOBILE HOME PARK,Polk,"7500 OSCEOLA POLK LINE RD, DAVENPORT, FL 33837",43,02/10/2022,Approved,,
PRMZ001112,SIESTA MOBILE HOME COURT,Hillsborough,"14714 N FLORIDA AVE, TAMPA, FL 33613",73,11/20/2008,Approved,,
PRMZ000740,LAKE BONNY MOBILE HOME PARK,Polk,"30 BONISEE CIR, LAKELAND, FL 33801",106,05/11/2026,Approved,,
PRMZ001697,PALM BREEZE ESTATE,Polk,"4535 US HWY 92 E, LAKELAND, FL 33801",32,01/07/2026,Approved,,
PRMY003591,NEW HARMONY MHP,Polk,"3120 HWY 27 SOUTH, LAKE WALES, FL 33853",23,01/03/2011,Approved,"FISHER, LINDA",
PRMZ001116,SUNCOAST GATEWAY,Pasco,"6010 RIDGE RD, NEW PORT RICHEY, FL 34668",174,06/23/2025,Approved,,
PRMY003659,SUNNYSIDE MOBILE HOME PARK,Polk,"2317 N US HWY 27, DAVENPORT, FL 33837",17,03/29/2018,Approved,,
PRMZ000560,KEENES ADULT MHP,Pasco,"12301 CARL LOOP, DADE CITY, FL 33525",37,10/10/1990,Approved,,
PRMZ000384,GARDEN MOBILE VILLAGE,Polk,"2040 15TH ST SW, WINTER HAVEN, FL 33880",67,11/08/2011,Approved,"PETERMAN, PHYLLIS",
PRMZ001219,SLEEPY HOLLOW MOBILE ESTATES,Pasco,"6616 WIRE RD, ZEPHYRHILLS, FL 33542",39,10/17/2022,Approved,,
PRMZ000351,FOUNTAINVIEW ESTATES,Polk,"600 FOUNTAINVIEW S, LAKELAND, FL 33809",197,03/07/2025,Approved,,
PRMZ000497,HARTS PARK,Hillsborough,"1209 RIVER DR SW, RUSKIN, FL 33570",31,09/06/1994,Approved,,
PRMZ000584,LAKE KISSIMMEE MHP,Polk,"CAMP LESTER RD, LAKE WALES, FL 33853",71,09/19/2011,Approved,,
PRMZ001719,SPEER MHP,Hillsborough,"1955 BRANCH FORBES RD, PLANT CITY, FL 33565",114,08/22/2011,Approved,,Y
PRMZ001696,PEACE RIVER VILLAGE,Polk,"2405 E STATE RD 60, BARTOW, FL 33830",88,08/22/2023,Approved,,
PRMZ000425,SCHALAMAR CREEK GOLF & COUNTRY CLUB COMM,Polk,"4500 US HWY 92 EAST 1030, LAKELAND, FL 33801",795,11/20/2025,Approved,,
PRMZ001803,SUNSHINE VILLAGE MOBILE HOME COMMUNITY,Polk,"1234 REYNOLDS RD, LAKELAND, FL 33801",303,12/10/2025,Approved,,
PRMY002712,TWIN PALMS COURT,Hillsborough,"11520 US 92 E BOX D-4, SEFFNER, FL 33584",3,03/22/2016,Approved,,
PRMZ000467,OAKS OF THONOTOSASSA THE,Hillsborough,"10321 MAIN ST, THONOTOSASSA, FL 33592-8327",190,02/20/2026,Approved,,
PRMZ000502,HI-PINES MOBILE HOME PARK,Hillsborough,"12224 N FLORIDA AVE, TAMPA, FL 33612",62,09/18/2017,Approved,,
PRMZ002556,CRYSTAL LAKE MOBILE HOME COMMUNITY,Pasco,"4604 LAKE CRYSTAL BLVD, ZEPHYRHILLS, FL 33541",519,04/07/2022,Approved,,
PRMY002622,CROWELLS MHP,Hillsborough,"6704 RIVERVIEW DR, RIVERVIEW, FL 33569",13,09/30/2001,Approved,,
PRMZ000927,SPANISH TRAILS WEST,Pasco,"7142 PISCINA ST, ZEPHYRHILLS, FL 33541",34,12/05/2025,Approved,,
PRMZ000691,STRAWBERRY RIDGE,Hillsborough,"4419 SR 60, VALRICO, FL 33594",373,05/15/2023,Approved,,
PRMZ001182,VALENCIA EST MOBILE HOME PARK,Polk,"3325 US HWY 98 S, LAKELAND, FL 33803",86,06/23/2014,Approved,,
PRMZ000728,BRENTWOOD ESTATES,Pasco,"9920 PRINCESS LN, HUDSON, FL 34667",194,10/17/2025,Approved,,
PRMZ001063,CHALET VILLAGE,Hillsborough,"14622 N NEBRASKA AVE, TAMPA, FL 33613",60,07/24/2026,Approved,,
PRMZ000365,FEATHEROCK MOBILE HOME PARK,Hillsborough,"2200 HWY 60 E, VALRICO, FL 33594",522,10/06/2020,Approved,,
PRMZ000781,LITTLE MANATEE ISLES,Hillsborough,"1177 PRIMROSE PEAK DR, RUSKIN, FL 33570",167,03/23/2026,Approved,,
PRMZ001832,RIVIERA MOBILE HOME PARK,Hillsborough,"1015 NEPTUNE DR, RUSKIN, FL 33570",30,07/25/2019,Approved,,
PRMZ000661,BARTOW MOBILE HOME PARK,Polk,"1510 E GEORGIA ST, BARTOW, FL 33830",84,05/14/2026,Approved,,
PRMZ000465,HACIENDA VILLAGE,Pasco,"7107 GIBRALTAR AVE, NEW PORT RICHEY, FL 34653",506,09/05/2024,Approved,,
PRMZ001703,JOHNNY'S MOBILE HOME CORP,Hillsborough,"203 E LINEBAUGH AVE, TAMPA, FL 33612",92,11/05/2001,Approved,,
PRMZ000189,CITRUS CENTER COLONY,Polk,"1111 W BEACON RD, LAKELAND, FL 33803",228,05/11/2026,Approved,,
PRMZ001587,RIVERWALK VILLAGE MOBILE HOME PARK,Hillsborough,"8518 GIBSONTON DR, GIBSONTON, FL 33534",176,02/24/2026,Approved,,
PRMZ001742,COUNTRY AIRE ESTATES MOBILE HOME PARK,Pasco,"38130 MCDONALD ST, DADE CITY, FL 33525",120,10/01/2025,Approved,,
PRMY002844,HAMMONDELL CAMPSITES,Polk,"5601 CYPRESS GARDENS ROAD, WINTER HAVEN, FL 33884",23,06/30/2006,Approved,,
PRMZ003197,RAMBLEWOOD VILLAGE MH COMMUNITY,Pasco,"38210 VINSON AVE, ZEPHYRHILLS, FL 33542",154,10/29/2001,Approved,"HEILER, ALFRED",
PRMZ000360,FOXWOOD VILLAGE,Polk,"4700 FOXWOOD BLVD, LAKELAND, FL 33810",352,11/05/2024,Approved,,
PRMZ000015,ARIPEKA WEST MOBILE HOME PARK,Pasco,"9230 ELMIRA AVE, ARIPEKA, FL 34679",120,04/04/2008,Approved,,
PRMZ001628,LIVINGSTON MOBILE HOME PARK,Hillsborough,"15812 LIVINGSTON AVE, LUTZ, FL 33549",65,05/15/2017,Approved,,
PRMZ001069,ORANGEWOOD LAKES MH COMM,Pasco,"7850 OLDFIELD RD, NEW PORT RICHEY, FL 34653",251,10/29/2001,Approved,"HEILER, ALFRED- TRUSTEE",
PRMZ000745,LAKE BLUE MOBILE HOME PARK,Polk,"713 ROSE ST, AUBURNDALE, FL 33823",102,02/07/2022,Approved,,
PRMZ000731,MAY MANOR MOBILE HOME PARK,Polk,"340 BRUNNELL PKWY, LAKELAND, FL 33815",297,02/10/2022,Approved,,
PRMZ000575,LITTLE MANATEE SPRINGS MOBILE HOME PARK,Hillsborough,"4337 HAMLIN WAY, WIMAUMA, FL 33598",265,06/12/2026,Approved,,
PRMY002916,CHERRY POCKET FISH CAMP,Polk,"3100 CANAL RD LOT 17, LAKE WALES, FL 33843",22,12/20/2019,Approved,,
PRMZ001639,LANDINGS AT LAKE HENRY,Polk,"23 O'HARA DR, HAINES CITY, FL 33844",395,07/11/2025,Approved,,
PRMZ001686,KISSIMMEE SOUTH,Polk,"3700 US HWY 17-92 N, DAVENPORT, FL 33837",127,10/12/2023,Approved,,
PRMY002025,MELODY ACRES MOBILE HOME PARK 2,Polk,"5270 NEW TAMPA HWY, LAKELAND, FL 33815",19,04/06/2020,Approved,,
PRMZ002069,ENCHANTED GROVE MOBILE HOME & RV PARK,Polk,"5137 NORTH SCENIC HIGHWAY, LAKE WALES, FL 33853",120,07/01/2016,Approved,,
PRMZ003554,RAINBOW RESORT RV & MOBILE HOME PARK,Polk,"700 HWY 630A, FROSTPROOF, FL 33843",37,08/22/2023,Approved,,
PRMZ001556,CHAPMAN'S MOBILE HOME PARK,Polk,"5600 NEW TAMPA HWY, LAKELAND, FL 33815",76,03/09/2020,Approved,,
PRMZ002904,LAND SOUTH COUNTRY VILLAS,Polk,"5435 LEWELLYN RD, LAKELAND, FL 33810",45,07/15/2020,Approved,,
