Project Number,MH Name,County,Street City State Zip,Lots,Approval Date,Primary Status,Owner Name,PlantCity
PRMY003662,UNCLE JOES FISH CAMP,Polk,"4535 WALK-IN-WATER RD, LAKES WALES, FL 33853",22,07/22/2021,Approved,,
PRMY003665,COUNTRY OAKS MOBILE HOME PARK,Hillsborough,"615 N WIGGINS RD, PLANT CITY, FL 33566",2,09/15/2022,Approved,,Y
PRMZ000318,EL CAMBA MOBILE HOME PARK,Polk,"1841 GEORGE JENKINS BLVD, LAKELAND, FL 33805",101,10/02/2019,Approved,,
PRMZ000327,FISHERMAN'S COVE,Pasco,"36100 DOCKSIDE PLACE, DADE CITY, FL 33525",202,08/11/2023,Approved,,
PRMZ000332,FISH HAVEN LODGE,Polk,"201 FISH HAVEN RD, AUBURNDALE, FL 33823",70,02/21/2024,Approved,,
PRMZ001865,OAKHILL VILLAGE,Hillsborough,"101 OAKHILL RIDGE RD, VALRICO, FL 33594",220,01/04/2024,Approved,OAKHILL VILLAGE INC,
PRMZ001867,LAKE FOX VILLAGE,Polk,"4950 CYPRESS GARDEN RD, WINTER HAVEN, FL 33884",77,10/15/2001,Approved,,
PRMY002946,ANNETTE TRAILER PARK,Hillsborough,"10803 ANNETTE AVE, TAMPA, FL 33612",20,01/27/2022,Approved,,
PRMY002950,PARADISE COVE MOBILE HOME PARK,Pasco,"2600 EARLENE DR, LAND O' LAKES, FL 34639",10,08/13/2007,Approved,,
PRMY002952,ROBINSON PINES MHP,Hillsborough,"4701 HWY 92 WEST, PLANT CITY, FL 33567",13,10/22/1986,Approved,"ROBINSON, T.G. & LAVERNE FAMILY PRTN LTD",Y
PRMY002959,GARLAND MOTOR COURT,Pasco,"4511 LAND-O-LAKES BOULEVARD, LAND-O-LAKES, FL 34639",12,08/22/1986,Approved,,
PRMY002961,GROCE TRAILER PARK,Hillsborough,"730 GROCE CIR, RUSKIN, FL 33570",24,05/15/2024,Approved,,
PRMY002962,BERNHARDT'S MOBILE COURT,Hillsborough,"9901 SYMMES RD, RIVERVIEW, FL 33534",13,09/26/2002,Approved,,
PRMY002995,LEDBETTERS MOBILE HOME PARK,Hillsborough,"11024 E OLD HILLSBORO, TAMPA, FL 33610",12,05/15/2024,Approved,,
PRMY003010,SUN-LAND MOBILE HOME PARK,Hillsborough,"801 W US HWY 92, SEFFNER, FL 33584",25,09/01/2006,Approved,,
PRMZ000018,ANGLER'S COVE,Polk,"944 REYNOLDS RD, LAKELAND, FL 33801",187,07/14/2023,Approved,,
PRMZ000027,BEACON HILL COLONY MOBILE HOME PARK,Polk,"1112 W BEACON RD, LAKELAND, FL 33803",201,08/30/2018,Approved,,
PRMZ000035,BANYAN TERRACE MOBILE HOME PARK,Polk,"1630 6TH ST NW, WINTER HAVEN, FL 33881",29,04/15/2020,Approved,,
PRMZ001103,SHIPP RECK HARBOR MOBILE HOME PARK,Polk,"1600 S LAKE SHIPP DR, WINTER HAVEN, FL 33880",112,10/15/2001,Approved,,
PRMZ001109,SIXTH AVENUE MOBILE HOME PARK,Pasco,"39345 SIXTH AVE E, ZEPHYRHILLS, FL 33542-6843",134,09/05/2024,Approved,,
PRMZ001111,SPANISH MAIN TRAVEL RESORT,Hillsborough,"12110 SPANISH MAIN RESORT TR, THONOTOSASSA, FL 33592",56,02/21/2017,Approved,,
PRMZ000357,FLORIDIAN MOBILE HOME PARK,Pasco,"5018 SLEIGHBELL LN, NEW PORT RICHEY, FL 34652",83,12/21/2010,Approved,,
PRMZ000363,FLORIDA CAMP INN,Polk,"1000 MAIN ST, DAVENPORT, FL 33897",32,01/07/2025,Approved,,
PRMZ000364,CYPRESS SHORES WEST MOBILE HOME PARK,Polk,"3255 WEST US HWY 92, WINTER HAVEN, FL 33881",82,04/11/2025,Approved,,
PRMZ001941,STOLL MANOR MOBILE HOME PARK,Polk,"1123 WALT WILLIAMS RD, LAKELAND, FL 33805",241,10/16/2025,Approved,,
PR7604,COACH LIGHT VILLA,Polk,"1900 S LAKE REEDY BLVD, FROSTPROOF, FL 33843",106,12/05/2024,Approved,,
PRMY003042,HOLIDAY HAVEN MOBILE HOME PARK,Pasco,"8301 NEW YORK AVE, HUDSON, FL 34667",24,02/07/2022,Approved,,
PRMY003043,S & S MOBILE HOME PARK,Pasco,"8937 KLOSS LN, HUDSON, FL 34667",5,01/03/2011,Approved,"GLESNER, KATHLEEN & ROBERT",
PRMZ000849,ANGLER'S GREEN,Polk,"10 LAKEVIEW DR, MULBERRY, FL 33860",387,09/26/2025,Approved,CHC VI LTD,
PRMZ001124,TANGLEWOOD VILLAGE ADULT MHP,Polk,"2230 TANGLEWOOD ST, LAKELAND, FL 33801",63,04/06/2020,Approved,,
PRMZ001128,CENTRAL PARK II,Polk,"1101 W COMMERCE AVE, HAINES CITY, FL 33844",128,10/10/2023,Approved,,
PRMZ001137,SUNDANCE,Pasco,"6340 SANTA FE DR, ZEPHYRHILLS, FL 33542",333,09/04/2025,Approved,,
PRMZ000861,PEDALERS POND,Polk,"1960 PEDALER'S POND BLVD, LAKE WALES, FL 33859",214,04/09/2025,Approved,,
PRMZ000873,ARBOR OAKS,Pasco,"36323 ARBOR OAKS DRIVE, ZEPHYRHILLS, FL 33541",157,11/22/2017,Approved,,
PRMZ000876,LAKELAND HARBOR,Polk,"4747 N  SR 33, LAKELAND, FL 33801",506,09/24/2018,Approved,,
PRMZ000888,COUNTRY PLACE VILLAGE,Pasco,"2601 COUNTRY PLACE BLVD, NEW PORT RICHEY, FL 34655",515,11/19/2018,Approved,,
PRMZ000893,MAGNOLIA HILL,Hillsborough,"328 MAGNOLIA HILL DRIVE, PLANT CITY, FL 33565",128,02/10/2022,Approved,,Y
PRMZ001153,GALAXY MOBILE HOME PARK,Hillsborough,"5810 W US HWY 92, PLANT CITY, FL 33566",40,05/10/2022,Approved,,Y
PRMZ001167,HIDEAWAY HILLS MOBILE HOME PARK I,Hillsborough,"11344 S US HWY 41, GIBSONTON, FL 33534",51,12/09/2019,Approved,,
PRMZ001168,COUNTRY VILLA ESTATES,Hillsborough,"1800 AMBERWOOD DR, RIVERVIEW, FL 33578",112,10/15/2001,Approved,"SEXTON, MARGORIE",
PRMZ003360,FOUR LAKES GOLF CLUB,Polk,"OLD LUCERNE ROAD, WINTER HAVEN, FL 33881",814,03/30/2018,Approved,"FOUR LAKES GOLF CLUB, LTD.",
PRMZ000061,BONNY SHORES MOBILE HOME PARK,Polk,"164 BONNY SHORES DR, LAKELAND, FL 33801",164,03/25/2025,Approved,,
PRMY003079,DUFFEY'S TRAILER PARK,Hillsborough,"3501 SAM ASTIN RD, PLANT CITY, FL 33566",23,01/03/2011,Approved,,Y
PRMY003092,SHEPHERD RETIREMENT COMMUNITY,Polk,"185 MARION PLACE, FROSTPROOF, FL 33843",23,09/14/1987,Approved,"FROSTPROOF GOSPEL CHURCH, INC.",
PRMY003136,LAKE DALE MHP,Polk,"1122 MCCAMPBELL ROAD, AUBURNDALE, FL 33823",12,04/09/2008,Approved,,
PRMY003166,ALAFIA RIVER DEVELOPMENT MHP,Hillsborough,"9810 VAUGHN ST, GIBSONTON, FL 33534",20,04/22/2008,Approved,,
PRMZ003498,OAKS AT COUNTRY WOOD,Hillsborough,"745 ARBOR ESTATES WAY, PLANT CITY, FL 33565",168,11/14/2018,Approved,,Y
PRMZ003525,TERIO'S MOBILE HOME PARK,Polk,"3520 EAST GASKIN ROAD LOT #1, BARTOW, FL 33830",40,01/30/1997,Approved,"BARROW, RICHARD MR & MRS",
PRMZ003526,RIDGE,Polk,"49473 HWY 27, DAVENPORT, FL 33897",481,10/17/2025,Approved,ROUTE 27 ASSOCIATES LTD,
PRMZ003537,SOUTHPORT SPRINGS,Pasco,"3509 SOUTHPORT SPRINGS PKWY, ZEPHYRHILLS, FL 33541",554,09/05/2024,Approved,,
PRMZ000071,MOUNT CARMEL RIDGE,Hillsborough,"113 S MOUNT CARMEL RD, BRANDON, FL 33511",211,03/24/2026,Approved,,
PRMZ000084,BAYONET POINT,Pasco,"10730 FALMOUTH CT, NEW PORT RICHEY, FL 34654",163,05/05/2026,Approved,,
PRMY002577,SUNRISE TP,Polk,"20 GRANER DRIVE, FROSTPROOF, FL 33843",12,12/11/2024,Approved,,
PRMY002580,BERT'S HIDEAWAY FISH CAMP,Polk,"2854 TINDEL CAMP RD, LAKE WALES, FL 33893",16,08/31/2012,Approved,,
PRMZ002551,SUNNY SKIES MHP,Pasco,"32704 CANTWELL DRIVE, SAN ANTONIO, FL 33576",51,07/19/2024,Approved,,
PRMZ002562,WHIDDEN MOBILE HOME AND RV PARK,Polk,"402 SATSUMA LN, FROSTPROOF, FL 33843",132,06/24/2024,Approved,,
PRMY003195,BRINKLEY STAMAT MOBILE HOME PARK,Pasco,"4331 MITCHELL RD, LAND O' LAKES, FL 34638",15,09/16/2020,Approved,,
PRMY003204,KENTWOOD MOBILE HOME PARK,Hillsborough,"4821 WILLIAMS RD, TAMPA, FL 33610",23,02/11/2026,Approved,,
PRMZ000899,WOOD DALE MOBILE HOME PARK,Pasco,"37945 BENTLEY DR, ZEPHYRHILLS, FL 33542",123,05/14/2026,Approved,,
PRMZ003635,PALM KEY VILLAGE,Polk,"48097 HWY 27, DAVENPORT, FL 33897",204,10/17/2025,Approved,53 ASSOCIATES,
PRMZ003680,HIGHLANDS AT SCOTLAND YARDS,Pasco,"9420 US 301, DADE CITY, FL 33525",350,07/22/2024,Approved,,
PRMZ003682,WINDMILL VILLAGE,Polk,"240 BAY BREEZE LOOP, DAVENPORT, FL 33897",509,05/07/2024,Approved,,
PRMZ001183,WOODLAND LAKES,Polk,"1901 HWY 17-92 WEST, HAINES CITY, FL 33844",167,11/13/2025,Approved,,
PRMZ000954,MEADOWBROOK VILLAGE,Hillsborough,"8920 SHELDON RD, TAMPA, FL 33635",257,04/22/2026,Approved,,
PRMZ001204,ROYAL OAKS MH & TRAVEL RESORT,Polk,"1012 SR 542 DUNDEE RD, DUNDEE, FL 33838",33,06/30/2012,Approved,,
PRMZ001205,SOUTHWINDS MOBILE HOME PARK,Polk,"1425 RITTER RD, LAKELAND, FL 33810",35,09/22/2022,Approved,,
PRMZ001210,ZEPHYR MOBILE HOME PARK,Pasco,"3950 DIXON ST, ZEPHYRHILLS, FL 33542",82,01/01/2005,Approved,,
PRMZ001230,TROPIC BREEZE,Pasco,"11310 US 19, PORT RICHEY, FL 34668",75,01/24/2023,Approved,,
PRMZ000113,TAMPA SUN ESTATES 6,Hillsborough,"17123 RICH-JO CIR, LUTZ, FL 33548",33,07/11/2022,Approved,,
PRMY003583,TUCK-A-WAY,Hillsborough,"301 27TH ST SE, RUSKIN, FL 33570",12,11/14/2024,Approved,,
PRMZ000052,BOB & JO TRAILER PARK,Hillsborough,"2903 W WATERS AVE, TAMPA, FL 33614",33,09/22/2006,Approved,,
PRMY002645,LAZY DAZY RETREAT,Polk,"6211 US HWY 98 N, LAKELAND, FL 33809",25,02/20/2008,Approved,,
PRMY002651,AL-LEE VILLAGE,Polk,"2105 BRUCE ST, LAKELAND, FL 33801",19,10/01/1996,Approved,,
PRMZ000638,LAUREL MOBILE HOME PARK,Polk,"18721 US HWY 27 S, LAKE WALES, FL 33853",34,02/07/2022,Approved,,
PRMZ000962,CYPRESS LAKES VILLAGE,Polk,"10000 N US HWY 98, LAKELAND, FL 33809",1457,04/25/2023,Approved,,
PRMZ000132,ALAFIA MOBILE PLAZA,Hillsborough,"11888 HWY 41 SOUTH, GIBSONTON, FL 33534",104,06/01/2018,Approved,,
PRMZ000155,CLUB WILDWOOD,Pasco,"7700 PARKWAY BLVD, HUDSON, FL 34667",478,10/17/2025,Approved,,
PRMZ000156,BAY WEST CLUB,Hillsborough,"9315 MEMORIAL HWY, TAMPA, FL 33615",380,11/04/2025,Approved,,
PRMZ000659,PALMS AT DOVER,Hillsborough,"5230 SR 60, DOVER, FL 33527",126,03/27/2020,Approved,,
PRMZ000662,LAKESHORE VILLAS,Hillsborough,"15401 LAKESHORE VILLA ST, TAMPA, FL 33613",283,04/22/2026,Approved,,
PRMZ000668,OAKVIEW LAKES INC,Polk,"300 S WASHINGTON AVE, FORT MEADE, FL 33841",188,08/26/1992,Approved,OAKVIEW LAKES INC,
PRMZ002798,OAK MEADOWS M H P,Polk,"3655 JOHNSON AVENUE, HAINES CITY, FL 33844",53,01/28/1998,Approved,,
PRMZ002804,LAKESIDE OAKS MOBILE PARK,Pasco,"36442 LAUREL LANE, DADE CITY, FL 33525",72,02/07/2022,Approved,,
PRMZ002807,ROBART'S MOBILE HOME PARK,Polk,"2000 MAINE STREET, FROSTPROOF, FL 33843",99,01/13/2004,Approved,,
PRMZ002816,EAST LAKE LANDINGS,Pasco,"18801 SKIFF DR, HUDSON, FL 34667",169,07/09/2026,Approved,EAST LAKE INVESTORS LLLP,
PRMY003276,SCAGLIONE MOBILE HOME PARK,Hillsborough,"9516 EASTFIELD RD, THONOTOSASSA, FL 33592",12,09/26/2002,Approved,,
PRMY003370,CHESTER DEES MOBILE HOME PARK,Polk,"DEES RD OFF HINSON AVE, HAINES CITY, FL 33844",21,09/24/2021,Approved,,
PRMZ000167,COTEE RIVER PARK HOMEOWNERS ASSC INC,Pasco,"5611 OAK RIDGE AVENUE, NEW PORT RICHEY, FL 34652",1,12/01/1997,Approved,,
PRMZ001242,FAIRVIEW MOBILE ESTATES INC,Pasco,"37400 CHANCEY RD, ZEPHYRHILLS, FL 33541",81,04/22/2002,Approved,"WHITE, JAMES & JOANNE",
PRMZ001244,HOLIDAY RV & MOBILE HOME PARK,Pasco,"7515 DECEMBER DR, PORT RICHEY, FL 34668",55,03/12/2021,Approved,,
PRMZ001248,KINGS POINTE,Polk,"100 WINTERDALE DR, LAKE ALFRED, FL 33850",226,03/18/2025,Approved,,
PRMZ001250,PARADISE VILLAGE MOBILE HOME PARK,Hillsborough,"9304 PARADISE DR, TAMPA, FL 33610",614,02/27/2026,Approved,,
PRMZ001270,LAKE JULIANA LANDINGS,Polk,"166 JULIANA BLVD, AUBURNDALE, FL 33823",271,09/10/2024,Approved,,
PRMZ000693,ANGLER'S COVE WEST,Polk,"944 REYNOLDS RD, LAKELAND, FL 33801",153,07/13/2023,Approved,ANGLERS COVE WEST LTD,
PRMZ000696,AVALON MOBILE HOME PARK,Hillsborough,"6205 N ROME AVE, TAMPA, FL 33604",36,07/23/2025,Approved,,
PRMZ001714,PARAKEET PARK,Polk,"2400 PARAKEET PARK BLVD, LAKE WALES, FL 33859",103,06/05/2026,Approved,,
PRMZ001724,STRAWBERRY SQUARE MHP,Hillsborough,"4401 BOOT BAY RD, PLANT CITY, FL 33567",6,11/20/2008,Approved,"STRAWBERRY SQUARE, INC. .",Y
PRMY002652,NATURES TRAIL MHP,Hillsborough,"12880 MORRIS BRIDGE ROAD, THONOTOSASSA, FL 33592",35,09/01/2006,Approved,,
PRMY002666,A-OK CAMPGROUND,Polk,"6925 THORNHILL RD, WINTER HAVEN, FL 33880",11,10/07/2020,Approved,,
PRMY002669,CRYSTAL KAY,Hillsborough,"2712 SE 14TH AVE, RUSKIN, FL 33570",24,07/16/2025,Approved,,
PRMY002704,SOUTHERN OAKS MHP,Polk,"3276 MT TABOR RD, LAKELAND, FL 33810",25,02/22/1991,Approved,,
PRMY002713,TRAILER INN COURT,Hillsborough,"8406 TAMPA STREET, TAMPA, FL 33604",30,09/25/2015,Approved,,
PRMY002721,OAKHILL MOBILE HOME PARK,Pasco,"18920 US HWY 301, DADE CITY, FL 33523",20,02/01/1996,Approved,,
PRMY003410,DUFF MEADOWS MHP,Polk,"1525 DUFF ROAD, LAKELAND, FL 33810",12,04/13/2018,Approved,,
PRMY003411,EAGLE RIDGE MHP,Polk,"2907 SHELL RD, LAKE WALES, FL 33853",19,02/10/2015,Approved,,
PRMZ001276,HIDDEN COVE WEST,Polk,"BOX 1916 LUCERNE PARK RD, WINTER HAVEN, FL 33880",243,08/13/2015,Approved,,
PRMZ001296,VILLA MARIA MOBILE HOME PARK,Hillsborough,"2510 W SHELL POINT RD, RUSKIN, FL 33570",58,12/15/2001,Approved,,
PRMZ001302,RAMBLEWOOD MOBILE HOME COMMMUNITY,Pasco,"38418 RAMBLEWOOD BLVD, ZEPHYRHILLS, FL 33541",200,07/29/2021,Approved,,
PRMZ000188,CARIBBEAN MOBILE HOME ESTATES,Pasco,"11635 TURKS DR, NEW PORT RICHEY, FL 34654",98,07/13/2026,Approved,,
PRMZ000193,COLONY CLUB MOBILE HOME ESTATES,Polk,"1501 11TH ST NE, WINTER HAVEN, FL 33881",105,03/29/2021,Approved,,
PRMZ000194,COUNTRYSIDE VILLAGE MAN HOME COMM,Hillsborough,"9601 CLUBHOUSE LANE, TAMPA, FL 33536",414,11/25/2013,Approved,,
PRMZ000195,CHULAVISTA LANDINGS,Hillsborough,"1734 WHEELHOUSE CIR, RUSKIN, FL 33570",245,03/12/2015,Approved,,
PRMZ000200,CHARLIES RETIREMENT MOBILE HOME PARK,Hillsborough,"10813 E MAIN ST, THONOTOSASSA, FL 33592",79,12/02/1994,Approved,HALASZ KAROLY (CHARLES),
PRMZ001745,OAKRIDGE MOBILE HOME PARK,Polk,"3922 VAN LANE, SEBRING, FL 33870",148,08/15/2001,Approved,GOSS JAMES C,
PRMZ001754,SANLAN RANCH MOBILE HOME PARK,Polk,"2727 SANLAN RANCH DR, LAKELAND, FL 33813",50,03/23/2017,Approved,SANLAN RANCH CAMPGROUND INC CORPORATE OFFICE,
PRMY002743,LAKEMONT RIDGE HOME & RV PARK,Polk,"2000 MAINE ST, FROSTPROOF, FL 33843",18,04/11/2007,Approved,,
PRMZ000704,LAKELAND GARDENS MHP,Polk,"3741 OLD TAMPA HWY (OFFICE), LAKELAND, FL 33811",43,07/13/2026,Approved,,
PRMZ000708,FLORIDA VILLAS MOBILE HOME PARK,Pasco,"1 PONCAN CIR HWY 301, ZEPHYRHILLS, FL 33541",60,11/03/2022,Approved,,
PRMZ000709,CAMP ROSALIE,Polk,"3000 CAMP ROSALIE RD, LAKE WALES, FL 33853",59,08/03/2026,Approved,,
PRMZ000973,ORANGE MANOR MHP WEST,Polk,"18 KINSMEN DR, WINTER HAVEN, FL 33884",92,02/01/2016,Approved,,
PRMZ000975,SHADOW WOOD VILLAGE,Pasco,"14709 SHADOW  WOOD BLVD, HUDSON, FL 34667",260,03/17/2025,Approved,,
PRMZ000985,PARADISE MOBILE HOME COURT,Hillsborough,"2201 US 41 S, RUSKIN, FL 33570",114,08/15/2001,Approved,RICKERT WAYNE C & GOSS SCHUETZ,
PRMZ000988,FLORIDA PALMS ESTATES,Polk,"1803 US 92, AUBURNDALE, FL 33823",40,09/18/2024,Approved,,
PRMZ000999,VILLAS AT SILVER DOLLAR,Pasco,"17000 PATTERSON ROAD, ODESSA, FL 33556",225,11/27/2018,Approved,,
PRMZ001002,SPRING LAKE PARK,Polk,"3731 E ST RD 60, LAKE WALES, FL 33853",31,08/01/2023,Approved,,
PRMZ001004,MOCKINGBIRD MHP,Pasco,"38018 WREN RD, ZEPHYRHILLS, FL 33540",83,08/15/2001,Approved,,
PRMZ000206,CENTRAL LEISURE LK MH & RV PARK,Polk,"1095 HWY 92 W, AUBURNDALE, FL 33823",80,10/05/2015,Approved,,
PRMZ000718,BEACON TERRACE,Polk,"2425 HARDEN BLVD, LAKELAND, FL 33803",297,09/14/2018,Approved,,
